56967,"Mene Grande","Zulia"
56961,"Farriar","Yaracuy"
57061,"Punta de Piedras","Nueva Esparta"
56938,"Macuto","Vargas"
57654,"Guacuco","Nueva Esparta"
57468,"Higuerote","Miranda"
56792,"La Fría","Táchira"
57362,"Canoabo","Carabobo"
56921,"La Quebrada","Trujillo"
57230,"Tocuyito","Carabobo"
56635,"Paracotos","Miranda"
56927,"La Puerta","Trujillo"
56683,"Araure","Portuguesa"
57568,"Mene de Mauroa","Falcón"
57021,"La Villa del Rosario","Zulia"
57044," La Asunción","Nueva Esparta"
57164,"Patanemo","Carabobo"
57236,"El Tigre","Anzoátegui"
57456,"Ejido","Mérida"
56815,"Michelena","Táchira"
57007,"Santa Cruz de Mara","Zulia"
57193," Ciudad Bolívar","Bolívar"
57293," Mérida","Mérida"
57548,"Carrizal","Miranda"
57050,"El Maco","Nueva Esparta"
56776,"Colón","Táchira"
57108,"Capaya","Miranda"
57062,"El Guamache","Nueva Esparta"
57085,"Paparo","Miranda"
56939,"Maiquetía","Vargas"
57480,"Lechería","Anzoátegui"
56970,"Cabimas","Zulia"
56638,"Santa Teresa del Tuy","Miranda"
57563,"Puerto Cabello","Carabobo"
56933,"Carayaca","Vargas"
56784,"Palo Gordo","Táchira"
57517," Maracay","Aragua"
57025,"Los Cortijos","Zulia"
56810,"El Milagro","Táchira"
56667," Maturín","Monagas"
57663,"San José de Los Altos","Miranda"
57045,"San Juan Bautista","Nueva Esparta"
56647,"Caripe","Monagas"
56767,"Los Altos","Sucre"
57053,"Altagracia","Nueva Esparta"
56804,"Rubio","Táchira"
57208,"San Joaquín","Anzoátegui"
57159,"El Limón","Aragua"
56996,"Lagunillas","Zulia"
57145,"Curiepe","Miranda"
57394,"Los Guayos","Carabobo"
56753,"San Antonio del Golfo","Sucre"
57345,"Ocumare de la Costa","Aragua"
57494," San Juan de los Morros","Guárico"
57059,"Boca del Río","Nueva Esparta"
57368,"Santa Rita","Aragua"
57414,"Tucacas","Falcón"
56796,"El Valle","Táchira"
57013,"Los Puertos de Altagracia","Zulia"
56990,"El Carmelo","Zulia"
57314," San Carlos","Cojedes"
57374,"Cachipo","Anzoátegui"
56936," La Guaira","Vargas"
57122,"Las Tejerías","Aragua"
57546,"Agua Viva","Lara"
56999,"Machiques","Zulia"
57311,"Anaco","Anzoátegui"
57477,"Puerto Píritu","Anzoátegui"
56813,"Borotá","Táchira"
57234,"Cantaura","Anzoátegui"
57185,"La Azulita","Mérida"
57211,"Caucagua","Miranda"
57056,"Juan griego","Nueva Esparta"
56807,"El Pueblito","Táchira"
57392,"Upata","Bolívar"
57655,"Sabana de Guacuco","Nueva Esparta"
56937,"La Sabana","Vargas"
56868,"El Alto","Trujillo"
57555,"Guacara","Carabobo"
57363,"Naguanagua","Carabobo"
57229,"Yagua","Carabobo"
57269," Barcelona","Anzoátegui"
56636,"San Pedro","Miranda"
56931,"Valera","Trujillo"
56782,"San Antonio del Táchira","Táchira"
57214," Caracas - Baruta","Miranda"
57120,"Boca de Uchire","Anzoátegui"
57429,"Cúpira","Miranda"
57312,"San Joaquín","Carabobo"
57349," Coro","Falcón"
56957," San Felipe","Yaracuy"
56802,"Bramón","Táchira"
57558,"La Victoria","Aragua"
56894,"Pampán","Trujillo"
57343,"Santa Cruz","Aragua"
57203,"Villa de Cura","Aragua"
57057,"Los Millanes","Nueva Esparta"
57157," Caracas - El Hatillo","Miranda"
56748,"Campo Claro","Sucre"
57111,"Guatire","Miranda"
56842,"Bocono","Trujillo"
57280,"Parapara","Guárico"
56934,"Catia La Mar","Vargas"
57518,"Turmero","Aragua"
56633,"San Diego de Los Altos","Miranda"
57664,"Monteclaro","Miranda"
57048,"Villa Rosa","Nueva Esparta"
56785,"Táriba","Táchira"
57360,"Puerto Ordáz","Bolívar"
57054,"Pampatar","Nueva Esparta"
57352,"Chichiriviche","Falcón"
57595,"Guanta","Anzoátegui"
